Time, Position, Orientation, Velocity, Headway_Distance, RPM, Gear, Throttle, Brake, Steering, Preceding_Vel
0,,,,,,,,,,
0.2,,,,,,,,,,
0.4,,,,,,,,,,
0.6,,,,,,,,,,
0.8,,,,,,,,,,
1,,,,,,,,,,
1.2,,,,,,,,,,
1.4,,,,,,,,,,
1.6,,,,,,,,,,
1.8,,,,,,,,,,
2,(1190.092 -0.049 252.037),(0.997 0.000 0.081),(0.000 0.000 0.000),(-5.980 -0.049 -0.485),0.000,3.000,0.000,0.000,0.012,(0.000 0.000 0.000)
2.2,(1190.092 -0.049 252.037),(0.997 0.000 0.081),(0.000 0.000 0.000),(-5.957 -0.106 -0.513),0.000,3.000,0.000,0.000,0.012,(-0.196 -0.880 -0.060)
2.4,(1190.092 -0.049 252.037),(0.997 0.000 0.081),(0.000 0.000 0.000),(-5.900 0.052 -0.498),0.000,3.000,0.000,0.000,0.012,(-0.218 0.006 0.108)
2.6,(1190.092 -0.049 252.037),(0.997 0.000 0.081),(0.000 0.000 0.000),(-5.872 -0.015 -0.489),0.000,3.000,0.000,0.000,0.012,(-0.170 0.121 -0.027)
2.8,(1190.092 -0.049 252.037),(0.997 0.000 0.081),(0.000 0.000 0.000),(-5.838 0.003 -0.486),0.000,3.000,0.000,0.000,0.012,(-0.158 -0.076 -0.019)
3,(1190.092 -0.049 252.037),(0.997 0.000 0.081),(0.000 0.000 0.000),(-5.808 0.000 -0.482),0.000,3.000,0.000,0.000,0.012,(-0.144 0.033 -0.021)
3.2,(1190.092 -0.049 252.037),(0.997 0.000 0.081),(0.000 0.000 0.000),(-5.781 0.000 -0.478),0.000,3.000,0.000,0.000,0.012,(-0.132 -0.012 -0.018)
3.4,(1190.092 -0.049 252.037),(0.997 0.000 0.081),(0.000 0.000 0.000),(-5.755 0.000 -0.475),0.000,3.000,0.000,0.000,0.012,(-0.121 0.003 -0.017)
3.6,(1190.092 -0.049 252.037),(0.997 0.000 0.081),(0.000 0.000 0.000),(-5.733 0.000 -0.472),0.000,3.000,0.000,0.000,0.012,(-0.110 -0.001 -0.016)
