Time, Position, Orientation, Velocity, Headway_Distance, RPM, Gear, Throttle, Brake, Steering, Preceding_Vel
0,,,,,,,,,,
0.2,,,,,,,,,,
0.4,,,,,,,,,,
0.6,,,,,,,,,,
0.8,,,,,,,,,,
1,,,,,,,,,,
1.2,,,,,,,,,,
1.4,,,,,,,,,,
1.6,,,,,,,,,,
1.8,,,,,,,,,,
2,(651.519 -0.009 650.937),(0.739 0.000 0.674),(0.000 0.000 0.000),(-4.431 -0.009 -4.045),0.000,2.000,0.000,0.000,0.014,(0.000 0.000 0.000)
2.2,(651.519 -0.009 650.937),(0.739 0.000 0.674),(0.000 0.000 0.000),(-4.382 -0.161 -4.060),0.000,2.000,0.025,0.000,0.014,(-0.139 -0.549 -0.235)
2.4,(651.519 -0.009 650.937),(0.739 0.000 0.674),(0.000 0.000 0.000),(-4.343 0.040 -3.996),0.000,2.000,0.006,0.000,0.014,(-0.070 -1.062 -0.265)
2.6,(651.519 -0.009 650.937),(0.739 0.000 0.674),(0.000 0.000 0.000),(-4.315 -0.003 -3.965),0.000,2.000,0.000,0.000,0.014,(-0.147 0.442 -0.147)
2.8,(651.519 -0.009 650.937),(0.739 0.000 0.674),(0.000 0.000 0.000),(-4.286 -0.003 -3.938),0.000,2.000,0.014,0.000,0.014,(-0.148 -0.155 -0.128)
3,(651.519 -0.009 650.937),(0.739 0.000 0.674),(0.000 0.000 0.000),(-4.257 0.002 -3.913),0.000,2.000,0.000,0.000,0.014,(-0.136 0.045 -0.119)
3.2,(651.519 -0.009 650.937),(0.739 0.000 0.674),(0.000 0.000 0.000),(-4.231 -0.001 -3.890),0.000,2.000,0.000,0.000,0.014,(-0.127 -0.010 -0.111)
3.4,(651.519 -0.009 650.937),(0.739 0.000 0.674),(0.000 0.000 0.000),(-4.207 0.000 -3.869),0.000,2.000,0.000,0.000,0.014,(-0.118 0.001 -0.103)
3.6,(651.519 -0.009 650.937),(0.739 0.000 0.674),(0.000 0.000 0.000),(-4.184 0.000 -3.849),0.000,2.000,0.000,0.000,0.014,(-0.110 0.000 -0.096)
